[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Title EN->TR] İlerleme 1425/3304 | ok=1425 fail=0 | hız=1.34/sn | kalan~23.4 dk
[Title EN->TR] İlerleme 1450/3304 | ok=1450 fail=0 | hız=1.34/sn | kalan~23.1 dk
[Title EN->TR] İlerleme 1475/3304 | ok=1475 fail=0 | hız=1.34/sn | kalan~22.8 dk
[Title EN->TR] İlerleme 1500/3304 | ok=1500 fail=0 | hız=1.34/sn | kalan~22.5 dk
[Title EN->TR] İlerleme 1525/3304 | ok=1525 fail=0 | hız=1.34/sn | kalan~22.2 dk
[Title EN->TR] İlerleme 1550/3304 | ok=1550 fail=0 | hız=1.34/sn | kalan~21.8 dk
[Title EN->TR] İlerleme 1575/3304 | ok=1575 fail=0 | hız=1.34/sn | kalan~21.5 dk
[Title EN->TR] İlerleme 1600/3304 | ok=1600 fail=0 | hız=1.34/sn | kalan~21.2 dk
[Title EN->TR] İlerleme 1625/3304 | ok=1625 fail=0 | hız=1.34/sn | kalan~20.9 dk
[Title EN->TR] İlerleme 1650/3304 | ok=1650 fail=0 | hız=1.35/sn | kalan~20.5 dk
[Title EN->TR] İlerleme 1675/3304 | ok=1675 fail=0 | hız=1.35/sn | kalan~20.1 dk
[Title EN->TR] İlerleme 1700/3304 | ok=1700 fail=0 | hız=1.35/sn | kalan~19.8 dk
[Title EN->TR] İlerleme 1725/3304 | ok=1725 fail=0 | hız=1.35/sn | kalan~19.4 dk
[Title EN->TR] İlerleme 1750/3304 | ok=1750 fail=0 | hız=1.36/sn | kalan~19.1 dk
[Title EN->TR] İlerleme 1775/3304 | ok=1775 fail=0 | hız=1.36/sn | kalan~18.8 dk
[Title EN->TR] İlerleme 1800/3304 | ok=1800 fail=0 | hız=1.36/sn | kalan~18.5 dk
[Title EN->TR] İlerleme 1825/3304 | ok=1825 fail=0 | hız=1.36/sn | kalan~18.1 dk
[Title EN->TR] İlerleme 1850/3304 | ok=1850 fail=0 | hız=1.36/sn | kalan~17.8 dk
[Title EN->TR] İlerleme 1875/3304 | ok=1875 fail=0 | hız=1.36/sn | kalan~17.5 dk
[Title EN->TR] İlerleme 1900/3304 | ok=1900 fail=0 | hız=1.36/sn | kalan~17.2 dk
[Title EN->TR] İlerleme 1925/3304 | ok=1925 fail=0 | hız=1.35/sn | kalan~17.0 dk
[Title EN->TR] İlerleme 1950/3304 | ok=1950 fail=0 | hız=1.36/sn | kalan~16.7 dk
[Title EN->TR] İlerleme 1975/3304 | ok=1975 fail=0 | hız=1.36/sn | kalan~16.3 dk
[Title EN->TR] İlerleme 2000/3304 | ok=2000 fail=0 | hız=1.35/sn | kalan~16.1 dk
[Title EN->TR] İlerleme 2025/3304 | ok=2025 fail=0 | hız=1.35/sn | kalan~15.7 dk
[Title EN->TR] İlerleme 2050/3304 | ok=2050 fail=0 | hız=1.35/sn | kalan~15.4 dk
[Title EN->TR] İlerleme 2075/3304 | ok=2075 fail=0 | hız=1.36/sn | kalan~15.1 dk
[Title EN->TR] İlerleme 2100/3304 | ok=2100 fail=0 | hız=1.35/sn | kalan~14.8 dk
