"Image","Title","Sales Rank: Current","Reviews: Rating","Buy Box 🚚: Current","Buy Box 🚚: Stock","Amazon: Current","Amazon: Stock","New: Current","List Price: Current","Categories: Tree","Website Display Group: Name","ASIN","Product Codes: EAN","Brand","Author"
"https://m.media-amazon.com/images/I/81aIah7w23L.jpg","WMF 1752206040 Gemüsetopf Topstar 20 cm, mit Deckel","","","","","","","","174.00","Küche, Haushalt & Wohnen › Küche, Kochen & Backen › Kochen › Töpfe & Pfannen › Gemüse- & Spargeltöpfe","Home","B00008XVMO","4000530517845","WMF",""
"https://m.media-amazon.com/images/I/713gAKBYlLL.jpg;https://m.media-amazon.com/images/I/51Z6aJ5gHbL.jpg;https://m.media-amazon.com/images/I/81xRfWnrxML.jpg;https://m.media-amazon.com/images/I/71su-YmdlUL.jpg;https://m.media-amazon.com/images/I/81RksFpuM6L.jpg;https://m.media-amazon.com/images/I/91hrtKQoawL.jpg;https://m.media-amazon.com/images/I/71rKGQW058L.jpg;https://m.media-amazon.com/images/I/91qAZojBSDL.jpg","Ninja XSKPNTLID2 Creami Pints und Deckel – 2 Stück, kompatibel mit NC299AMZ & NC300s Serie Ninja Creami Eisbereiter, BPA-frei & spülmaschinenfest, graue Deckel","","4.8","","","","","","100.00","Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Ersatzteile & Zubehör › Ersatzteile & Zubehör für Spezialgeräte › Zubehör für Eismaschinen","Home","B08WRCVLLV","0622356572736","Ninja",""
"https://m.media-amazon.com/images/I/510b5ptoQLL.jpg;https://m.media-amazon.com/images/I/61klUB2K65L.jpg;https://m.media-amazon.com/images/I/515NCOEGVhL.jpg;https://m.media-amazon.com/images/I/51V8a+xMHYL.jpg","KitchenAid Zentrifugal Entsafter Medallion Silber 43 x 39 x 22,9 cm","","5","","","","","","379.00","Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Entsafter › Zentrifugal-Entsafter","Küche & Haushalt","B01N9VM06J","5413184900373","KitchenAid",""
"https://m.media-amazon.com/images/I/51Z68TtqSLL.jpg;https://m.media-amazon.com/images/I/510JqEfhW6L.jpg;https://m.media-amazon.com/images/I/41NROs-flmL.jpg","Kitchenaid 5KSB1585EOB Blender, Standmixer im Rautendesign, schwarz","","4.4","","","","","","199.00","Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Küchenmaschinen, Rührgeräte & Mixer › Stab- & Standmixer › Standmixer","Küche & Haushalt","B00KM8D2RI","5413184000882","KitchenAid",""
"https://m.media-amazon.com/images/I/71S1hNwaDeL.jpg;https://m.media-amazon.com/images/I/815IlQO8UQL.jpg;https://m.media-amazon.com/images/I/61LOfY+9nFL.jpg;https://m.media-amazon.com/images/I/61D4qyxD1cL.jpg;https://m.media-amazon.com/images/I/71kEYfEu6VL.jpg;https://m.media-amazon.com/images/I/71z-fyR92EL.jpg;https://m.media-amazon.com/images/I/71aImoQlWFL.jpg;https://m.media-amazon.com/images/I/7187xgQX7wL.jpg;https://m.media-amazon.com/images/I/71JZrwRe3CL.jpg;https://m.media-amazon.com/images/I/51-fu0jixQL.jpg;https://m.media-amazon.com/images/I/41UlqqiUdmL.jpg;https://m.media-amazon.com/images/I/51zVVAWfcSL.jpg;https://m.media-amazon.com/images/I/510sNBFABzL.jpg;https://m.media-amazon.com/images/I/41cla4NdFEL.jpg;https://m.media-amazon.com/images/I/41aeltfP5vL.jpg","WMF Ceradur Profi Bratpfanne Induktion mit Glasdeckel 28 cm, Cromargan Edelstahl beschichtet, Keramikbeschichtung, Kunststoffgriff","","4.4","","","","","","89.99","Küche, Haushalt & Wohnen › Küche, Kochen & Backen › Kochen › Töpfe & Pfannen › Brat- & Universalpfannen","Home","B005XJQFSE","4000530653093","WMF",""
"https://m.media-amazon.com/images/I/61vB3puLWbL.jpg;https://m.media-amazon.com/images/I/41ae+dpbZxL.jpg;https://m.media-amazon.com/images/I/419CVNXCASL.jpg;https://m.media-amazon.com/images/I/31DxRfdNjML.jpg;https://m.media-amazon.com/images/I/417HN8fgg4L.jpg;https://m.media-amazon.com/images/I/41xdsSez59L.jpg","SEVERIN KA 5828 Duo-Kaffeemaschine (Für gemahlenen Filterkaffee, 2x 8 Tassen, Inkl. 2 Thermokannen und Teefilter) schwarz","","4.4","","","","","","119.90","Küche, Haushalt & Wohnen › Küche, Kochen & Backen › Kaffee, Tee & Espresso › Kaffeemaschinen & -zubereiter › Filterkaffeemaschinen","Küche & Haushalt","B00TKFNVUW","4008146017537, 4056352300431","SEVERIN",""
"https://m.media-amazon.com/images/I/61GNC3uxFaL.jpg","WMF Chef's Edition Sauteuse 20 cm ohne Deckel, Metalldeckel mit Dampföffnung, 3-Schicht-Material, Cromargan Edelstahl poliert, Topf Induktion, unbeschichtet","","4","","","","","","89.99","Küche, Haushalt & Wohnen › Küche, Kochen & Backen › Kochen › Töpfe & Pfannen › Brat- & Universalpfannen","Home","B00BWP95NK","4000530666390","WMF",""
"https://m.media-amazon.com/images/I/71bLjLqP-fL.jpg;https://m.media-amazon.com/images/I/81r2t-I-v+L.jpg;https://m.media-amazon.com/images/I/71KEh+WUAXL.jpg;https://m.media-amazon.com/images/I/71B3H5195zL.jpg;https://m.media-amazon.com/images/I/71vTwZpGD-L.jpg;https://m.media-amazon.com/images/I/81Xo8jy1+DL.jpg;https://m.media-amazon.com/images/I/71Rc2nzvzjL.jpg;https://m.media-amazon.com/images/I/71ROsiCpgNL.jpg","WMF Dimension Topfset Induktion 5-teilig, Kochtopf Set mit Metalldeckel, Cromargan Edelstahl poliert, Induktions Töpfe Set unbeschichtet","","3.8","","","","","","349.00","Küche, Haushalt & Wohnen › Küche, Kochen & Backen › Kochen › Töpfe & Pfannen › Sets › Topfsets","Home","B00OE4GFVG","4000530680020","WMF",""
"https://m.media-amazon.com/images/I/51xnnbUn-EL.jpg;https://m.media-amazon.com/images/I/51VHkL3FJ8L.jpg;https://m.media-amazon.com/images/I/41s3kEIjs2L.jpg;https://m.media-amazon.com/images/I/61Qg57MvQDL.jpg;https://m.media-amazon.com/images/I/71zkvHWmFpL.jpg;https://m.media-amazon.com/images/I/614K4JX1E+L.jpg;https://m.media-amazon.com/images/I/41sG36jIBqL.jpg","Kitchenaid 5KEK1522EFP Artisan-Wasserkocher","","4.7","","","","","","169.00","Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Wasserkocher & Heißwasserspender › Wasserkocher","Küche & Haushalt","B00BJL4VQS","0787269021389, 5413184151096","KitchenAid",""
"https://m.media-amazon.com/images/I/51DyY120x-L.jpg;https://m.media-amazon.com/images/I/51oUcNBnSSL.jpg;https://m.media-amazon.com/images/I/31ZSRnFh6wL.jpg","Garmin Rally RK100 Leistungsmesser mit Einzelsensor, kompatibel mit Pedalplatten Look KEO","","5","","","","","","669.87","","Jewelry","B08WC6TGQT","0753759253608","Garmin",""
